idade(meses),sexo,sexo,P0.1 Min,P0.1 Max,P3 Min,P3 Max,P5 Min,P5 Max,P10 Min,P10 Max,P15 Min,P15 Max,P50 Min,P50 Max,P85 Min,P85 Max,P97 Min,P97 Max,P99.9 Min
24,1,M,12.8,13.8,13.9,14.1,14.2,14.4,14.5,14.7,14.8,15.9,16.0,17.3,17.4,18.6,18.7,20.7,20.8
24,2,F,12.3,13.4,13.5,13.6,13.7,14.0,14.1,14.3,14.4,15.6,15.7,17.1,17.2,18.4,18.5,20.7,20.8
25,1,M,12.8,13.8,13.9,14.0,14.1,14.4,14.5,14.7,14.8,15.9,16.0,17.3,17.4,18.5,18.6,20.6,20.7
25,2,F,12.3,13.3,13.4,13.6,13.7,14.0,14.1,14.3,14.4,15.6,15.7,17.0,17.1,18.4,18.5,20.7,20.8
26,1,M,12.7,13.7,13.8,14.0,14.1,14.4,14.5,14.6,14.7,15.8,15.9,17.2,17.3,18.5,18.6,20.5,20.6
26,2,F,12.3,13.3,13.4,13.6,13.7,14.0,14.1,14.3,14.4,15.5,15.6,17.0,17.1,18.4,18.5,20.6,20.7
27,1,M,12.7,13.7,13.8,13.9,14.0,14.3,14.4,14.6,14.7,15.8,15.9,17.2,17.3,18.4,18.5,20.5,20.6
27,2,F,12.2,13.3,13.4,13.6,13.7,13.9,14.0,14.2,14.3,15.5,15.6,17.0,17.1,18.3,18.4,20.6,20.7
28,1,M,12.6,13.7,13.8,13.9,14.0,14.3,14.4,14.6,14.7,15.8,15.9,17.1,17.2,18.4,18.5,20.4,20.5
28,2,F,12.2,13.3,13.4,13.5,13.6,13.9,14.0,14.2,14.3,15.5,15.6,16.9,17.0,18.3,18.4,20.6,20.7
29,1,M,12.6,13.6,13.7,13.9,14.0,14.3,14.4,14.5,14.6,15.7,15.8,17.1,17.2,18.3,18.4,20.4,20.5
29,2,F,12.2,13.3,13.4,13.5,13.6,13.9,14.0,14.2,14.3,15.5,15.6,16.9,17.0,18.3,18.4,20.5,20.6
30,1,M,12.5,13.6,13.7,13.8,13.9,14.2,14.3,14.5,14.6,15.7,15.8,17.1,17.2,18.3,18.4,20.3,20.4
30,2,F,12.2,13.2,13.3,13.5,13.6,13.9,14.0,14.2,14.3,15.4,15.5,16.9,17.0,18.2,18.3,20.5,20.6
31,1,M,12.5,13.6,13.7,13.8,13.9,14.2,14.3,14.4,14.5,15.7,15.8,17.0,17.1,18.3,18.4,20.2,20.3
31,2,F,12.2,13.2,13.3,13.5,13.6,13.9,14.0,14.1,14.2,15.4,15.5,16.9,17.0,18.2,18.3,20.5,20.6
32,1,M,12.5,13.5,13.6,13.8,13.9,14.1,14.2,14.4,14.5,15.6,15.7,17.0,17.1,18.2,18.3,20.2,20.3
32,2,F,12.1,13.2,13.3,13.4,13.5,13.8,13.9,14.1,14.2,15.4,15.5,16.8,16.9,18.2,18.3,20.4,20.5
33,1,M,12.4,13.5,13.6,13.7,13.8,14.1,14.2,14.4,14.5,15.6,15.7,16.9,17.0,18.2,18.3,20.1,20.2
33,2,F,12.1,13.2,13.3,13.4,13.5,13.8,13.9,14.1,14.2,15.4,15.5,16.8,16.9,18.2,18.3,20.4,20.5
34,1,M,12.4,13.4,13.5,13.7,13.8,14.1,14.2,14.3,14.4,15.6,15.7,16.9,17.0,18.1,18.2,20.1,20.2
34,2,F,12.1,13.1,13.2,13.4,13.5,13.8,13.9,14.1,14.2,15.3,15.4,16.8,16.9,18.1,18.2,20.4,20.5
35,1,M,12.4,13.4,13.5,13.7,13.8,14.0,14.1,14.3,14.4,15.5,15.6,16.9,17.0,18.1,18.2,20.1,20.2
35,2,F,12.1,13.1,13.2,13.4,13.5,13.8,13.9,14.0,14.1,15.3,15.4,16.8,16.9,18.1,18.2,20.4,20.5
36,1,M,12.3,13.4,13.5,13.6,13.7,14.0,14.1,14.3,14.4,15.5,15.6,16.9,17.0,18.1,18.2,20.0,20.1
36,2,F,12.0,13.1,13.2,13.4,13.5,13.7,13.8,14.0,14.1,15.3,15.4,16.8,16.9,18.1,18.2,20.4,20.5
37,1,M,12.3,13.4,13.5,13.6,13.7,14.0,14.1,14.3,14.4,15.5,15.6,16.8,16.9,18.0,18.1,20.0,20.1
37,2,F,12.0,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.3,15.4,16.7,16.8,18.1,18.2,20.4,20.5
38,1,M,12.3,13.3,13.4,13.6,13.7,14.0,14.1,14.2,14.3,15.4,15.5,16.8,16.9,18.0,18.1,20.0,20.1
38,2,F,12.0,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.3,15.4,16.7,16.8,18.1,18.2,20.4,20.5
39,1,M,12.2,13.3,13.4,13.5,13.6,13.9,14.0,14.2,14.3,15.4,15.5,16.8,16.9,18.0,18.1,19.9,20.0
39,2,F,12.0,13.0,13.1,13.3,13.4,13.7,13.8,14.0,14.1,15.2,15.3,16.7,16.8,18.1,18.2,20.4,20.5
40,1,M,12.2,13.3,13.4,13.5,13.6,13.9,14.0,14.2,14.3,15.4,15.5,16.7,16.8,18.0,18.1,19.9,20.0
40,2,F,11.9,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.4,20.5
41,1,M,12.2,13.2,13.3,13.5,13.6,13.9,14.0,14.1,14.2,15.4,15.5,16.7,16.8,17.9,18.0,19.9,20.0
41,2,F,11.9,13.0,13.1,13.2,13.3,13.6,13.7,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.5,20.6
42,1,M,12.1,13.2,13.3,13.5,13.6,13.8,13.9,14.1,14.2,15.3,15.4,16.7,16.8,17.9,18.0,19.9,20.0
42,2,F,11.9,13.0,13.1,13.2,13.3,13.6,13.7,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.5,20.6
43,1,M,12.1,13.2,13.3,13.4,13.5,13.8,13.9,14.1,14.2,15.3,15.4,16.7,16.8,17.9,18.0,19.9,20.0
43,2,F,11.9,12.9,13.0,13.2,13.3,13.6,13.7,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.5,20.6
44,1,M,12.1,13.2,13.3,13.4,13.5,13.8,13.9,14.1,14.2,15.3,15.4,16.7,16.8,17.9,18.0,19.9,20.0
44,2,F,11.8,12.9,13.0,13.2,13.3,13.6,13.7,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.5,20.6
45,1,M,12.1,13.1,13.2,13.4,13.5,13.8,13.9,14.1,14.2,15.3,15.4,16.7,16.8,17.9,18.0,19.9,20.0
45,2,F,11.8,12.9,13.0,13.2,13.3,13.6,13.7,13.9,14.0,15.2,15.3,16.7,16.8,18.2,18.3,20.6,20.7
46,1,M,12.1,13.1,13.2,13.4,13.5,13.8,13.9,14.0,14.1,15.3,15.4,16.6,16.7,17.9,18.0,19.9,20.0
46,2,F,11.8,12.9,13.0,13.1,13.2,13.6,13.7,13.8,13.9,15.2,15.3,16.7,16.8,18.2,18.3,20.6,20.7
47,1,M,12.0,13.1,13.2,13.4,13.5,13.7,13.8,14.0,14.1,15.2,15.3,16.6,16.7,17.9,18.0,19.9,20.0
47,2,F,11.8,12.9,13.0,13.1,13.2,13.5,13.6,13.8,13.9,15.2,15.3,16.7,16.8,18.2,18.3,20.6,20.7
48,1,M,12.0,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.2,15.3,16.6,16.7,17.9,18.0,19.9,20.0
48,2,F,11.7,12.8,12.9,13.1,13.2,13.5,13.6,13.8,13.9,15.2,15.3,16.7,16.8,18.2,18.3,20.7,20.8
49,1,M,12.0,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.2,15.3,16.6,16.7,17.9,18.0,19.9,20.0
49,2,F,11.7,12.8,12.9,13.1,13.2,13.5,13.6,13.8,13.9,15.2,15.3,16.7,16.8,18.2,18.3,20.7,20.8
50,1,M,12.0,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.2,15.3,16.6,16.7,17.9,18.0,20.0,20.1
50,2,F,11.7,12.8,12.9,13.1,13.2,13.5,13.6,13.8,13.9,15.2,15.3,16.7,16.8,18.2,18.3,20.8,20.9
51,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,17.9,18.0,20.0,20.1
51,2,F,11.7,12.8,12.9,13.1,13.2,13.5,13.6,13.8,13.9,15.2,15.3,16.7,16.8,18.3,18.4,20.8,20.9
52,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,17.9,18.0,20.0,20.1
52,2,F,11.7,12.8,12.9,13.0,13.1,13.5,13.6,13.8,13.9,15.1,15.2,16.8,16.9,18.3,18.4,20.9,21.0
53,1,M,11.9,13.0,13.1,13.2,13.3,13.6,13.7,13.9,14.0,15.2,15.3,16.6,16.7,17.9,18.0,20.0,20.1
53,2,F,11.6,12.8,12.9,13.0,13.1,13.5,13.6,13.8,13.9,15.2,15.3,16.8,16.9,18.3,18.4,20.9,21.0
54,1,M,11.9,13.0,13.1,13.2,13.3,13.6,13.7,13.9,14.0,15.2,15.3,16.6,16.7,17.9,18.0,20.1,20.2
54,2,F,11.6,12.8,12.9,13.0,13.1,13.5,13.6,13.8,13.9,15.2,15.3,16.8,16.9,18.3,18.4,20.9,21.0
55,1,M,11.9,13.0,13.1,13.2,13.3,13.6,13.7,13.9,14.0,15.1,15.2,16.6,16.7,17.9,18.0,20.1,20.2
55,2,F,11.6,12.8,12.9,13.0,13.1,13.4,13.5,13.8,13.9,15.2,15.3,16.8,16.9,18.3,18.4,21.0,21.1
56,1,M,11.9,13.0,13.1,13.2,13.3,13.6,13.7,13.9,14.0,15.1,15.2,16.6,16.7,17.9,18.0,20.2,20.3
56,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.8,16.9,18.4,18.5,21.0,21.1
57,1,M,11.9,12.9,13.0,13.2,13.3,13.6,13.7,13.9,14.0,15.1,15.2,16.6,16.7,17.9,18.0,20.2,20.3
57,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.8,16.9,18.4,18.5,21.1,21.2
58,1,M,11.9,12.9,13.0,13.2,13.3,13.6,13.7,13.8,13.9,15.1,15.2,16.6,16.7,17.9,18.0,20.2,20.3
58,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.8,16.9,18.4,18.5,21.1,21.2
59,1,M,11.9,12.9,13.0,13.2,13.3,13.6,13.7,13.8,13.9,15.1,15.2,16.6,16.7,18.0,18.1,20.3,20.4
59,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.8,16.9,18.4,18.5,21.2,21.3
60,1,M,11.9,12.9,13.0,13.2,13.3,13.5,13.6,13.8,13.9,15.1,15.2,16.6,16.7,18.0,18.1,20.4,20.5
60,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.9,17.0,18.5,18.6,21.2,21.3
61,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,18.0,18.1,20.3,20.4
61,2,F,11.7,12.8,12.9,13.0,13.1,13.4,13.5,13.7,13.8,15.1,15.2,16.8,16.9,18.5,18.6,21.5,21.6
62,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,18.0,18.1,20.3,20.4
62,2,F,11.7,12.8,12.9,13.0,13.1,13.4,13.5,13.7,13.8,15.1,15.2,16.8,16.9,18.5,18.6,21.6,21.7
63,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,18.0,18.1,20.3,20.4
63,2,F,11.7,12.8,12.9,13.0,13.1,13.4,13.5,13.7,13.8,15.1,15.2,16.9,17.0,18.5,18.6,21.6,21.7
64,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,18.0,18.1,20.4,20.5
64,2,F,11.7,12.8,12.9,13.0,13.1,13.4,13.5,13.7,13.8,15.1,15.2,16.9,17.0,18.6,18.7,21.7,21.8
65,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,18.0,18.1,20.4,20.5
65,2,F,11.7,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.1,15.2,16.9,17.0,18.6,18.7,21.8,21.9
66,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,18.0,18.1,20.5,20.6
66,2,F,11.7,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.1,15.2,16.9,17.0,18.6,18.7,21.8,21.9
67,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.6,16.7,18.1,18.2,20.5,20.6
67,2,F,11.7,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.1,15.2,16.9,17.0,18.7,18.8,21.9,22.0
68,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.6,20.7
68,2,F,11.7,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.9,17.0,18.7,18.8,22.0,22.1
69,1,M,12.0,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.6,20.7
69,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.9,17.0,18.7,18.8,22.1,22.2
70,1,M,12.1,13.0,13.1,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.7,16.8,18.1,18.2,20.7,20.8
70,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,16.9,17.0,18.8,18.9,22.2,22.3
71,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.7,16.8,18.2,18.3,20.7,20.8
71,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.0,17.1,18.8,18.9,22.3,22.4
72,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.7,16.8,18.2,18.3,20.8,20.9
72,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.0,17.1,18.8,18.9,22.3,22.4
73,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,13.9,14.0,15.2,15.3,16.7,16.8,18.2,18.3,20.9,21.0
73,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.0,17.1,18.9,19.0,22.4,22.5
74,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.2,15.3,16.8,16.9,18.3,18.4,20.9,21.0
74,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.0,17.1,18.9,19.0,22.5,22.6
75,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.2,15.3,16.8,16.9,18.3,18.4,21.0,21.1
75,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.0,17.1,18.9,19.0,22.6,22.7
76,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.3,15.4,16.8,16.9,18.3,18.4,21.1,21.2
76,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.1,17.2,19.0,19.1,22.7,22.8
77,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.3,15.4,16.8,16.9,18.4,18.5,21.2,21.3
77,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.1,17.2,19.0,19.1,22.8,22.9
78,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.3,15.4,16.8,16.9,18.4,18.5,21.2,21.3
78,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.1,17.2,19.1,19.2,22.9,23.0
79,1,M,12.1,13.1,13.2,13.3,13.4,13.7,13.8,14.0,14.1,15.3,15.4,16.9,17.0,18.4,18.5,21.3,21.4
79,2,F,11.6,12.7,12.8,13.0,13.1,13.4,13.5,13.7,13.8,15.2,15.3,17.1,17.2,19.1,19.2,23.0,23.1
80,1,M,12.1,13.1,13.2,13.4,13.5,13.7,13.8,14.0,14.1,15.3,15.4,16.9,17.0,18.5,18.6,21.4,21.5
